sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	qtl_mapping	study
TWPID10860	TWPID10860	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID10861	TWPID10861	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11102	TWPID11102	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11103	TWPID11103	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID12847	TWPID12847	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID2318	TWPID2318	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID5115	TWPID5115	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID6004	TWPID6004	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID7246	TWPID7246	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID7442	TWPID7442	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11698	TWPID11698	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11699	TWPID11699	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID4757	TWPID4757	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID4864	TWPID4864	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID5127	TWPID5127	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID6832	TWPID6832	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID8628	TWPID8628	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID8632	TWPID8632	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID9838	TWPID9838	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID9848	TWPID9848	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11196	TWPID11196	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11197	TWPID11197	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID11742	TWPID11742	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID12848	TWPID12848	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID5257	TWPID5257	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID5342	TWPID5342	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID6979	TWPID6979	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID6980	TWPID6980	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID9396	TWPID9396	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID9398	TWPID9398	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID1541	TWPID1541	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID1542	TWPID1542	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID2140	TWPID2140	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID2897	TWPID2897	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
TWPID3657	TWPID3657	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TwinsUK
