sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study
TWPID10000_F	TWPID10000	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10000	TWPID10000	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10000_S	TWPID10000	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10016_F	TWPID10016	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10016	TWPID10016	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10016_S	TWPID10016	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10024_B	TWPID10024	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10024_F	TWPID10024	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10024	TWPID10024	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10024_S	TWPID10024	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10048_F	TWPID10048	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10048	TWPID10048	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10048_S	TWPID10048	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10085_B	TWPID10085	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10085	TWPID10085	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10103_F	TWPID10103	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10103	TWPID10103	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10103_S	TWPID10103	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10134_F	TWPID10134	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10134	TWPID10134	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10134_S	TWPID10134	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10190_F	TWPID10190	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10190	TWPID10190	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10190_S	TWPID10190	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10205_S	TWPID10205	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10235_B	TWPID10235	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10235_F	TWPID10235	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10235	TWPID10235	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10235_S	TWPID10235	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10254	TWPID10254	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10254_S	TWPID10254	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10260_B	TWPID10260	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10826_B	TWPID10260	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10260_F	TWPID10260	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10826_F	TWPID10260	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10260	TWPID10260	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10826	TWPID10260	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10826_S	TWPID10260	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10282_F	TWPID10282	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10282	TWPID10282	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10282_S	TWPID10282	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10287_F	TWPID10287	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10287	TWPID10287	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10287_S	TWPID10287	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10291_B	TWPID10291	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10291_F	TWPID10291	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10291	TWPID10291	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10291_S	TWPID10291	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10344_F	TWPID10344	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10357_F	TWPID10344	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10344	TWPID10344	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10357	TWPID10344	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10357_S	TWPID10344	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10368_B	TWPID10368	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10368_F	TWPID10368	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10368	TWPID10368	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10368_S	TWPID10368	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10370_B	TWPID10370	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10370_F	TWPID10370	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10370	TWPID10370	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10370_S	TWPID10370	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10402_B	TWPID10402	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10384_B	TWPID10402	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10402_F	TWPID10402	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10384_F	TWPID10402	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10402	TWPID10402	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10384	TWPID10402	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10402_S	TWPID10402	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10384_S	TWPID10402	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10420_F	TWPID10420	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10420	TWPID10420	female	LCL	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10420_S	TWPID10420	female	skin	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10459_B	TWPID10459	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
TWPID10488_B	TWPID10459	female	blood	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	FALSE	TwinsUK
TWPID10459_F	TWPID10459	female	fat	naive	0	50bp	FALSE	TRUE	poly(A)	TRUE	TRUE	TwinsUK
